Stephen Sommers
Adam Goldberg
Victor Canning
Daniel Reitz
Ian Gamazon
Stephen Carpenter
Meir Zarchi
Steven Smith
Richard LaGravenese
Daniel Bova
Philippe Petit
Aaron Seltzer
Trevor Griffiths
Stephen Susco
Sheridan Jobbins
Jonathan Levine
Kate Angelo
Jeff Stockwell
Joseph Stefano
H. Kaye Dyal
Mateo Gil
Brent David Fraser
Moss Hart
Todd Boyd
Anthony Shaffer
Karen Croner
Jeff Shaara
Jason Trost
Lorenzo Carcaterra
Gregory Widen
Andrew Steele
Guillaume Laurant
Jeff Nichols
Nicolas Bonilauri
David Kajganich
Christopher Smith
Matt Stone
Dave Barry
Farhad Safinia
Javier Abad
Michael McGowan
Bart Gavigan
Robert Kuhn
Michael Ellis
David Butler
Tom Savage
Shane Black
Steven Rogers
Mark Burton
John Brownjohn
Susan Hill
Peter Ackerman
Neil Jordan
Anna Hamilton Phelan
Jan Sardi
Ernestine Gilbreth Carey
Kerry Williamson
John Scott 3
David Hayter
Pamela Pettler
Reginald Rose
Vikas Swarup
Aaron Stockard
Doug Taylor
Pete Jones
Richard Kelly
Jason Filardi
Jac Flanders
Ken Scarborough
Bruce Robinson
Demian Lichtenstein
Mickey Rapkin
Henry Bean
Kazuo Ishiguro
Paul Gallico
Erik Martinez
Richard Shepard
Patrick Sheane Duncan
Cosimo Alemà
Christopher Bram
Michael Steinberg
J.R. Reher
Jill Sprecher
Karl Tunberg
Jeffrey Lieber
David McKenna
Matt Greenberg
Billy Kent
Fred Carpenter
Frank LaLoggia
Gabrielle Allan
Tim Blake Nelson
Todd Alcott
Benh Zeitlin
Simon Moore
Jon Erwin
Kristin Rusk Robinson
Warren Beatty
Greg Harrison
Matt Manfredi
Jim Piddock
Karen Moncrieff
Matthew Faulk
Lucinda Coxon
Mark Romanek
Kurt Hale
Rudyard Kipling
A.A. Milne
Alan Ball
Gabrielle Zevin
Phil Johnston
Joseph Kahn
Richard Price
Allison Anders
Ken Sanzel
Nick Tomnay
Joe Penhall
Kim Barker
Julius J. Epstein
Alice Hoffman
Adam Larson Broder
Tom Schulman
Michael Finch
Rob Letterman
Mitch Glazer
Armistead Maupin
Edmund Penney
Bart Baker
MacKinlay Kantor
Caytha Jentis
Cathleen Schine
Stephen Peters
Sam Chaiton
Valerie Tripp
Franc. Reyes
Jay McInerney
Ethan Coen
Ewan Leslie
Herb Freed
William Kotzwinkle
J.H. Wyman
Annie Proulx
Ol Parker
Michael Ian Black
Kirk De Micco
Kate Connor
Marc Smerling
Joshua Banta
Nikolaj Frobenius
Jessica Sue Burstein
Alan J. Pakula
Todd Phillips
Ted Sears
Shane Carruth
Scott Kosar
David Ronn
Mark Verheiden
Reinhard Klooss
Simon Pegg
Jason Marsden
Peter Baynham
Fred Wolf
Art Marcum
Dan Kay
Beatrix Christian
Adam Sussman
Mike Mills
Chris Columbus
Tarik Lowe
Alex Haley
Michael Grais
Rachel Cohn
Brian Hohlfeld
Vanessa Taylor
Arthur Laurents
Karen Janszen
Robert Souza
Larry Gross
Markus Zusak
Marc Rocco
Sean Durkin
Ann Brashares
Sai Varadan
Vince Di Meglio
Hans Petter Moland
Michael Arndt
Gabriel Casseus
Paul Donovan
Lothar G. Buchheim
Zach Cregger
Digby Wolfe
Buzz Bissinger
Shawn Wayans
Jason Lew
Jose Rivera
Eli Craig
Jason Eisener
Pierre Salvadori
Jack Golden Russell
Duncan Jones
David Marconi
John Patrick Shanley
Tom Epperson
Michel Gondry
Mary Agnes Donoghue
Won-mi Byun
Joe Ahearne
Derek Harvie
Angus MacLachlan
Scott Spiegel
William Hjortsberg
Madelyn Davis
