Movie Name,Actor Name
Awake,Christopher McDonald
Lethal Weapon 3,Mel Gibson
Lethal Weapon 3,"Miguel A. Núñez, Jr."
Lethal Weapon 3,Nick Chinlund
Lethal Weapon 3,Steve Kahan
Lethal Weapon 3,Ebonie Smith
Cloudy with a Chance of Meatballs 2,Bill Hader
Cloudy with a Chance of Meatballs 2,Anna Faris
Cloudy with a Chance of Meatballs 2,James Caan
Cloudy with a Chance of Meatballs 2,Will Forte
Cloudy with a Chance of Meatballs 2,Andy Samberg
Trance,James McAvoy
Trance,Vincent Cassel
Trance,Rosario Dawson
Trance,Danny Sapani
Trance,Matt Cross
Kissing Jessica Stein,Jennifer Westfeldt
Kissing Jessica Stein,Heather Juergensen
Kissing Jessica Stein,Scott Cohen
Kissing Jessica Stein,Tovah Feldshuh
Kissing Jessica Stein,Jackie Hoffman
Flatliners,Kiefer Sutherland
Flatliners,Julia Roberts
Flatliners,Kevin Bacon
Flatliners,William Baldwin
Flatliners,Oliver Platt
The Flintstones,John Goodman
The Flintstones,Rick Moranis
The Flintstones,Elizabeth Perkins
The Flintstones,Rosie O'Donnell
The Flintstones,Kyle MacLachlan
Sleeper,Woody Allen
Sleeper,Diane Keaton
Easy Virtue,Jessica Biel
Easy Virtue,Colin Firth
Easy Virtue,Kristin Scott Thomas
Easy Virtue,Ben Barnes
Easy Virtue,Kris Marshall
First Daughter,Katie Holmes
First Daughter,Marc Blucas
First Daughter,Michael Keaton
First Daughter,Forest Whitaker
First Daughter,Jay Leno
Gridiron Gang,Dwayne Johnson
Gridiron Gang,Xzibit
Gridiron Gang,Kevin Dunn
Gridiron Gang,Leon Rippy
Gridiron Gang,Jade Yorker
Sparkle,Jordin Sparks
Sparkle,Whitney Houston
Sparkle,Derek Luke
Sparkle,Mike Epps
Sparkle,Carmen Ejogo
The Bone Collector,Denzel Washington
The Bone Collector,Angelina Jolie
The Bone Collector,Queen Latifah
The Bone Collector,Michael Rooker
The Bone Collector,Mike McGlone
Maximum Risk,Jean-Claude Van Damme
Maximum Risk,Natasha Henstridge
The Spy Who Loved Me,Bernard Lee
The Spy Who Loved Me,Desmond Llewelyn
The Spy Who Loved Me,Lois Maxwell
The Spy Who Loved Me,Barbara Bach
The Spy Who Loved Me,Roger Moore
Bananas,Woody Allen
Bananas,Louise Lasser
Bananas,Danny De Vito
Bananas,Sylvester Stallone
Bananas,Allen Garfield
Peggy Sue Got Married,Nicolas Cage
Peggy Sue Got Married,Helen Hunt
Peggy Sue Got Married,Jim Carrey
Peggy Sue Got Married,Joan Allen
Peggy Sue Got Married,Kathleen Turner
Mao's Last Dancer,Chi Cao
Mao's Last Dancer,Kyle MacLachlan
Mao's Last Dancer,Amanda Schull
Mao's Last Dancer,Wang Shuangbao
Mao's Last Dancer,Guo Chengwu
Songcatcher,Janet McTeer
Songcatcher,Aidan Quinn
Songcatcher,Pat Carroll
Songcatcher,Jane Adams
Songcatcher,Greg Cook
What to Expect When You're Expecting,Cameron Diaz
What to Expect When You're Expecting,Jennifer Lopez
What to Expect When You're Expecting,Elizabeth Banks
What to Expect When You're Expecting,Chace Crawford
What to Expect When You're Expecting,Brooklyn Decker
Laws of Attraction,Pierce Brosnan
Laws of Attraction,Julianne Moore
Laws of Attraction,Parker Posey
Laws of Attraction,Nora Dunn
Laws of Attraction,Michael Sheen
Days of Heaven,Richard Libertini
Days of Heaven,Richard Gere
Days of Heaven,Brooke Adams
Days of Heaven,Sam Shepard
Days of Heaven,Stuart Margolin
Copying Beethoven,Ed Harris
Copying Beethoven,Diane Kruger
Copying Beethoven,Matthew Goode
Copying Beethoven,Ralph Riach
Copying Beethoven,Joe Anderson
Goodfellas,Robert De Niro
Goodfellas,Ray Liotta
Goodfellas,Joe Pesci
Goodfellas,Lorraine Bracco
Goodfellas,Paul Sorvino
The Big Bounce,Owen Wilson
The Big Bounce,Morgan Freeman
The Big Bounce,Gary Sinise
The Big Bounce,Bebe Neuwirth
The Big Bounce,Harry Dean Stanton
Hercules,Dwayne Johnson
Hercules,Ian McShane
Hercules,Rufus Sewell
Hercules,Joseph Fiennes
Hercules,Peter Mullan
Holy Man,Dave Corey
Holy Man,Jon Cryer
Holy Man,Jeff Goldblum
Holy Man,Robert Loggia
Holy Man,Eric McCormack
X2,Patrick Stewart
X2,Hugh Jackman
X2,Ian McKellen
X2,Halle Berry
X2,Famke Janssen
The Astronaut's Wife,Johnny Depp
The Astronaut's Wife,Charlize Theron
The Astronaut's Wife,Joe Morton
The Astronaut's Wife,Clea DuVall
The Astronaut's Wife,Samantha Eggar
Executive Decision,Steven Seagal
Executive Decision,Halle Berry
Executive Decision,John Leguizamo
Executive Decision,Kurt Russell
Executive Decision,Joe Morton
Veronica Guerin,Cate Blanchett
Veronica Guerin,Brenda Fricker
Veronica Guerin,Colin Farrell
Veronica Guerin,Ciaran Hinds
Wicker Park,Josh Hartnett
Wicker Park,Matthew Lillard
Wicker Park,Rose Byrne
Wicker Park,Diane Kruger
Wicker Park,Jessica Pare
Stand by Me,Richard Dreyfuss
Stand by Me,John Cusack
Stand by Me,River Phoenix
Stand by Me,Kiefer Sutherland
Stand by Me,Corey Feldman
Robin Hood: Prince of Thieves,Kevin Costner
Robin Hood: Prince of Thieves,Morgan Freeman
Robin Hood: Prince of Thieves,Christian Slater
Robin Hood: Prince of Thieves,Alan Rickman
Robin Hood: Prince of Thieves,Mary Elizabeth Mastrantonio
Prison,Viggo Mortensen
Prison,Chelsea Field
Prison,Lane Smith
Prison,Tom Everett
Larry the Cable Guy: Health Inspector,Dan Whitney
Larry the Cable Guy: Health Inspector,Thomas F. Wilson
Larry the Cable Guy: Health Inspector,Lance Smith
Larry the Cable Guy: Health Inspector,Joe Pantoliano
Larry the Cable Guy: Health Inspector,David Koechner
The Avengers,"Robert Downey, Jr."
The Avengers,Chris Evans
The Avengers,Mark Ruffalo
The Avengers,Chris Hemsworth
The Avengers,Scarlett Johansson
12 Angry Men,Martin Balsam
