Movie Name,Release Date,Genre,Budget,Gross
The Fast and the Furious: Tokyo Drift, 2006/6/16,Action,85000000.0,62615510.0
Fast Five, 2011/4/29,Action,125000000.0,209837675.0
Fast Times at Ridgemont High, 1982/8/13,Comedy,4500000.0,27092880.0
Faster, 2010/11/24,Action,12000000.0,23240020.0
Fat Albert, 2004/12/25,Comedy,45000000.0,48114556.0
Fatal Attraction, 1987/9/18,Thriller/Suspense,14000000.0,156645693.0
Fateless, 2006/1/6,Drama,12000000.0,196857.0
Father's Day, 1997/5/9,Comedy,85000000.0,28681080.0
The Fault in Our Stars, 2014/6/6,Drama,12000000.0,124793131.0
Fear and Loathing in Las Vegas, 1998/5/22,Comedy,18500000.0,10680275.0
FearDotCom, 2002/8/30,Horror,40000000.0,13208023.0
Feast, 2006/9/22,Horror,3200000.0,56131.0
Felicia's Journey, 1999/11/12,Drama,15000000.0,824295.0
La femme de chambre du Titanic, 1998/8/14,Drama,10000000.0,244465.0
Femme Fatale, 2002/11/6,Thriller/Suspense,35000000.0,6630252.0
Fengkuang de Shitou, 2006/12/31,Black Comedy,500000.0,0.0
Festen, 1998/10/9,Comedy,1300000.0,1647780.0
Fetching Cody, 2006/3/17,Comedy,1500000.0,0.0
Fever Pitch, 2005/4/8,Comedy,40000000.0,42071069.0
A Few Good Men, 1992/12/11,Drama,33000000.0,141340178.0
Fiddler on the Roof, 1971/1/1,Musical,9000000.0,80500000.0
Fido, 2007/6/15,Horror,8000000.0,298110.0
The Fifth Element, 1997/5/9,Action,95000000.0,63570862.0
The Fifth Estate, 2013/10/18,Drama,26000000.0,3254172.0
Fifty Dead Men Walking, 2009/8/21,Drama,10000000.0,0.0
Fight Club, 1999/10/15,Drama,65000000.0,37030102.0
The Fighter, 2010/12/10,Drama,11000000.0,93617009.0
Fighting Tommy Riley, 2005/5/6,Drama,300000.0,10514.0
Filly Brown, 2013/4/19,Drama,1250000.0,2850357.0
Final Destination, 2000/3/17,Horror,23000000.0,53302314.0
Final Destination 2, 2003/1/31,Horror,26000000.0,46896664.0
Final Destination 3, 2006/2/10,Horror,25000000.0,54098051.0
The Final Destination, 2009/8/28,Horror,40000000.0,66477700.0
Final Destination 5, 2011/8/12,Horror,40000000.0,42587643.0
Final Fantasy: The Spirits Within, 2001/7/11,Adventure,137000000.0,32131830.0
Find Me Guilty, 2006/3/17,Drama,13000000.0,1173673.0
Finding Forrester, 2000/12/19,Drama,43000000.0,51768623.0
Finding Nemo, 2003/5/30,Adventure,94000000.0,380529370.0
Finding Neverland, 2004/11/12,Drama,25000000.0,51676606.0
A Fine Step, 2014/6/24,Drama,1000000.0,0.0
Finishing the Game, 2007/10/5,Comedy,500000.0,52850.0
Fired Up, 2009/2/20,Comedy,20000000.0,17231291.0
Firefox, 1982/6/18,Action,21000000.0,45785720.0
